	hk_gene	gene_id
745	CYB5R3	ENSG00000100243.20
746	CYC1	ENSG00000179091.4
747	CYFIP1	ENSG00000280618.2
748	CYHR1	ENSG00000187954.12
749	CYP2U1	ENSG00000155016.17
750	D2HGDH	ENSG00000180902.16
751	DAD1	ENSG00000129562.10
752	DAG1	ENSG00000173402.11
753	DAGLB	ENSG00000164535.14
754	DALRD3	ENSG00000178149.16
755	DAP3	ENSG00000132676.15
756	DARS	ENSG00000115866.10
757	DARS2	ENSG00000117593.9
758	DAXX	ENSG00000229396.1
759	DAZAP1	ENSG00000071626.16
760	DBT	ENSG00000137992.14
761	DCAF10	ENSG00000122741.15
762	DCAF11	ENSG00000100897.17
763	DCAF12	ENSG00000198876.12
764	DCAF13	ENSG00000164934.13
765	DCAF5	ENSG00000139990.17
766	DCAF7	ENSG00000136485.14
767	DCAF8	ENSG00000132716.18
768	DCAKD	ENSG00000172992.11
769	DCTD	ENSG00000129187.14
770	DCTN2	ENSG00000175203.15
771	DCTN3	ENSG00000137100.15
772	DCTN4	ENSG00000132912.12
773	DCTN5	ENSG00000166847.9
774	DCTN6	ENSG00000104671.7
775	DCTPP1	ENSG00000179958.8
776	DCUN1D3	ENSG00000188215.9
777	DCUN1D4	ENSG00000109184.14
778	DCUN1D5	ENSG00000137692.11
779	DDA1	ENSG00000130311.10
780	DDB1	ENSG00000167986.13
781	DDB2	ENSG00000134574.11
782	DDOST	ENSG00000244038.9
783	DDRGK1	ENSG00000198171.12
784	DDX1	ENSG00000079785.14
785	DDX10	ENSG00000178105.9
786	DDX17	ENSG00000100201.18
787	DDX18	ENSG00000088205.12
788	DDX19A	ENSG00000168872.15
789	DDX19B	ENSG00000157349.15
790	DDX21	ENSG00000165732.12
791	DDX23	ENSG00000174243.9
792	DDX24	ENSG00000273761.4
793	DDX27	ENSG00000124228.14
794	DDX39B	ENSG00000235439.10
795	DDX3X	ENSG00000215301.9
796	DDX41	ENSG00000183258.11
797	DDX42	ENSG00000198231.12
798	DDX46	ENSG00000145833.15
799	DDX47	ENSG00000213782.7
800	DDX49	ENSG00000105671.11
801	DDX54	ENSG00000123064.12
802	DDX56	ENSG00000136271.10
803	DDX59	ENSG00000118197.13
804	DEDD	ENSG00000158796.16
805	DEF8	ENSG00000140995.16
806	DEGS1	ENSG00000143753.12
807	DEK	ENSG00000124795.14
808	DENND1A	ENSG00000119522.15
809	DENND4A	ENSG00000174485.14
810	DENR	ENSG00000139726.10
811	DERA	ENSG00000023697.12
812	DERL1	ENSG00000136986.9
813	DERL2	ENSG00000072849.10
814	DESI1	ENSG00000100418.7
815	DEXI	ENSG00000182108.9
816	DFFA	ENSG00000160049.11
817	DGCR14	ENSG00000100056.11
818	DGCR2	ENSG00000070413.18
819	DGCR6L	ENSG00000128185.9
820	DHPS	ENSG00000095059.15
821	DHRS12	ENSG00000102796.10
822	DHRS7B	ENSG00000109016.17
823	DHX15	ENSG00000109606.12
824	DHX16	ENSG00000226171.6
825	DHX29	ENSG00000067248.9
826	DHX30	ENSG00000132153.14
827	DHX32	ENSG00000089876.11
828	DHX33	ENSG00000005100.12
829	DHX36	ENSG00000281763.2
830	DHX38	ENSG00000140829.11
831	DHX8	ENSG00000067596.10
832	DHX9	ENSG00000135829.16
833	DIABLO	ENSG00000184047.15
834	DIDO1	ENSG00000101191.16
835	DIEXF	ENSG00000117597.17
836	DIMT1	ENSG00000086189.9
837	DIRC2	ENSG00000138463.8
838	DIS3	ENSG00000083520.14
839	DIS3L2	ENSG00000144535.19
840	DKC1	ENSG00000130826.15
841	DLD	ENSG00000091140.12
842	DLG1	ENSG00000075711.20
843	DLGAP4	ENSG00000080845.17
844	DLST	ENSG00000119689.14
845	DMAP1	ENSG00000178028.13
846	DNAAF2	ENSG00000165506.14
847	DNAJA2	ENSG00000069345.11
848	DNAJA3	ENSG00000276726.4
849	DNAJB11	ENSG00000090520.10
850	DNAJB12	ENSG00000148719.14
851	DNAJB9	ENSG00000128590.4
852	DNAJC10	ENSG00000077232.16
853	DNAJC11	ENSG00000007923.15
854	DNAJC14	ENSG00000135392.15
855	DNAJC17	ENSG00000104129.9
856	DNAJC19	ENSG00000205981.6
857	DNAJC2	ENSG00000105821.14
858	DNAJC21	ENSG00000168724.14
859	DNAJC3	ENSG00000102580.14
860	DNAJC4	ENSG00000110011.13
861	DNAJC5	ENSG00000101152.10
862	DNAJC7	ENSG00000168259.14
863	DNAJC8	ENSG00000126698.10
864	DNAJC9	ENSG00000213551.4
865	DNASE2	ENSG00000105612.8
866	DNLZ	ENSG00000213221.4
867	DNM1L	ENSG00000087470.17
868	DNM2	ENSG00000079805.16
869	DNTTIP1	ENSG00000101457.12
870	DNTTIP2	ENSG00000067334.13
871	DOHH	ENSG00000129932.7
872	DOLK	ENSG00000175283.7
873	DPAGT1	ENSG00000172269.16
874	DPH1	ENSG00000108963.17
875	DPH2	ENSG00000132768.13
876	DPH3	ENSG00000154813.9
877	DPH5	ENSG00000117543.19
878	DPM1	ENSG00000000419.12
879	DPP7	ENSG00000176978.13
880	DPY30	ENSG00000162961.13
881	DR1	ENSG00000117505.12
882	DRAM2	ENSG00000156171.14
883	DRAP1	ENSG00000175550.7
884	DRG2	ENSG00000108591.9
885	DROSHA	ENSG00000113360.16
886	DSCR3	ENSG00000157538.13
887	DTWD1	ENSG00000104047.14
888	DUSP11	ENSG00000144048.10
889	DUSP14	ENSG00000275932.2
890	DUSP16	ENSG00000111266.8
891	DUSP22	ENSG00000112679.14
892	DUT	ENSG00000128951.13
893	DVL3	ENSG00000161202.17
894	DYM	ENSG00000141627.13
895	DYNC1LI1	ENSG00000144635.8
896	DYNLL2	ENSG00000264364.2
897	DYNLRB1	ENSG00000125971.16
898	DYNLT1	ENSG00000146425.10
899	E2F4	ENSG00000205250.8
900	E4F1	ENSG00000167967.15
901	EAF1	ENSG00000144597.13
902	EAPP	ENSG00000129518.8
903	EARS2	ENSG00000103356.15
904	EBAG9	ENSG00000147654.14
905	EBNA1BP2	ENSG00000117395.10
906	ECD	ENSG00000122882.10
907	ECH1	ENSG00000104823.8
908	ECHDC1	ENSG00000093144.18
909	ECHS1	ENSG00000127884.4
910	ECI1	ENSG00000167969.12
911	ECI2	ENSG00000198721.12
912	ECSIT	ENSG00000130159.13
913	EDC3	ENSG00000179151.11
914	EDC4	ENSG00000038358.14
915	EDEM3	ENSG00000116406.18
916	EDF1	ENSG00000107223.12
917	EED	ENSG00000074266.17
918	EEF1B2	ENSG00000114942.13
919	EEF1E1	ENSG00000124802.11
920	EEF2	ENSG00000167658.15
921	EEFSEC	ENSG00000132394.10
922	EFCAB14	ENSG00000159658.10
923	EFHA1	
924	EFR3A	ENSG00000132294.13
925	EFTUD1	ENSG00000140598.13
926	EFTUD2	ENSG00000108883.12
927	EGLN2	ENSG00000269858.5
928	EHMT1	ENSG00000181090.17
929	EI24	ENSG00000149547.14
930	EID2	ENSG00000176396.9
931	EIF1	ENSG00000173812.10
932	EIF1AD	ENSG00000175376.8
933	EIF1B	ENSG00000114784.3
934	EIF2A	ENSG00000144895.11
935	EIF2AK1	ENSG00000086232.12
936	EIF2AK3	ENSG00000172071.11
937	EIF2AK4	ENSG00000128829.11
938	EIF2B2	ENSG00000119718.10
939	EIF2B3	ENSG00000070785.16
940	EIF2B4	ENSG00000115211.15
941	EIF2B5	ENSG00000145191.11
942	EIF2D	ENSG00000143486.15
943	EIF2S1	ENSG00000134001.12
944	EIF2S2	ENSG00000125977.6
945	EIF3A	ENSG00000107581.12
946	EIF3B	ENSG00000106263.17
947	EIF3D	ENSG00000100353.17
948	EIF3E	ENSG00000104408.9
949	EIF3G	ENSG00000130811.10
950	EIF3H	ENSG00000147677.10
951	EIF3I	ENSG00000084623.11
952	EIF3J	ENSG00000104131.12
953	EIF3K	ENSG00000178982.9
954	EIF3L	ENSG00000100129.17
955	EIF3M	ENSG00000149100.12
956	EIF4A1	ENSG00000161960.14
957	EIF4A3	ENSG00000141543.9
958	EIF4E2	ENSG00000135930.13
959	EIF4G1	ENSG00000114867.19
960	EIF4G2	ENSG00000110321.15
961	EIF4G3	ENSG00000075151.19
962	EIF4H	ENSG00000106682.14
963	EIF5	ENSG00000100664.10
964	EIF5A	ENSG00000132507.17
965	EIF5AL1	ENSG00000253626.3
966	EIF5B	ENSG00000158417.10
967	EIF6	ENSG00000242372.6
968	ELAC2	ENSG00000006744.18
969	ELAVL1	ENSG00000066044.13
970	ELF2	ENSG00000109381.19
971	ELK1	ENSG00000126767.17
972	ELK4	ENSG00000158711.13
973	ELL2	ENSG00000118985.14
974	ELMOD3	ENSG00000115459.17
975	ELOVL1	ENSG00000066322.12
976	ELP2	ENSG00000134759.13
977	ELP3	ENSG00000134014.16
978	ELP4	ENSG00000109911.17
979	ELP6	ENSG00000163832.15
980	EMC1	ENSG00000127463.13
981	EMC10	ENSG00000161671.16
982	EMC2	ENSG00000104412.7
983	EMC3	ENSG00000125037.12
984	EMC4	ENSG00000128463.12
985	EMC6	ENSG00000127774.6
986	EMC7	ENSG00000134153.9
987	EMC8	ENSG00000131148.8
988	EMC9	ENSG00000100908.13
989	EMD	ENSG00000102119.10
990	EMG1	ENSG00000126749.14
991	ENDOG	ENSG00000167136.6
992	ENOPH1	ENSG00000145293.14
993	ENSA	ENSG00000143420.17
994	ENTPD4	ENSG00000197217.12
995	ENTPD6	ENSG00000197586.12
996	ENY2	ENSG00000120533.12
997	EPC1	ENSG00000120616.15
998	EPM2AIP1	ENSG00000178567.7
999	EPN1	ENSG00000063245.14
1000	EPRS	ENSG00000136628.17
1001	ERAL1	ENSG00000132591.11
1002	ERAP1	ENSG00000164307.12
1003	ERCC1	ENSG00000012061.15
1004	ERCC2	ENSG00000104884.14
1005	ERCC3	ENSG00000163161.12
1006	ERCC5	ENSG00000134899.17
1007	ERGIC2	ENSG00000087502.17
1008	ERGIC3	ENSG00000125991.18
1009	ERH	ENSG00000100632.10
1010	ERI3	ENSG00000117419.14
1011	ERICH1	ENSG00000282665.1
1012	ERLEC1	ENSG00000068912.13
1013	ERO1L	ENSG00000197930.12
1014	ERP44	ENSG00000023318.7
1015	ESD	ENSG00000139684.13
1016	ESF1	ENSG00000089048.14
1017	ETF1	ENSG00000120705.12
1018	ETFA	ENSG00000140374.15
1019	ETFB	ENSG00000105379.9
1020	ETV6	ENSG00000139083.10
1021	EWSR1	ENSG00000182944.17
1022	EXD2	ENSG00000081177.18
1023	EXOC1	ENSG00000090989.17
1024	EXOC2	ENSG00000112685.13
1025	EXOC3	ENSG00000180104.15
1026	EXOC4	ENSG00000131558.14
1027	EXOC7	ENSG00000182473.20
1028	EXOC8	ENSG00000116903.7
1029	EXOSC1	ENSG00000171311.12
1030	EXOSC10	ENSG00000171824.13
1031	EXOSC2	ENSG00000130713.15
1032	EXOSC4	ENSG00000178896.6
1033	EXOSC7	ENSG00000075914.12
1034	EXOSC8	ENSG00000120699.12
1035	EXT2	ENSG00000151348.13
1036	EXTL3	ENSG00000012232.8
1037	FADD	ENSG00000168040.4
1038	FAF1	ENSG00000185104.19
1039	FAF2	ENSG00000113194.12
1040	FAHD1	ENSG00000180185.11
1041	FAM104B	ENSG00000182518.13
1042	FAM108A1	
1043	FAM108B1	
1044	FAM114A2	ENSG00000055147.17
1045	FAM118B	ENSG00000197798.8
1046	FAM120A	ENSG00000048828.16
1047	FAM120AOS	ENSG00000188938.15
1048	FAM120B	ENSG00000275333.4
1049	FAM122A	ENSG00000187866.7
1050	FAM127B	ENSG00000203950.6
1051	FAM134A	ENSG00000144567.10
1052	FAM134C	ENSG00000141699.10
1053	FAM136A	ENSG00000035141.7
1054	FAM149B1	ENSG00000138286.14
1055	FAM160A2	ENSG00000051009.10
1056	FAM160B1	ENSG00000151553.14
1057	FAM160B2	ENSG00000158863.21
1058	FAM162A	ENSG00000114023.15
1059	FAM168B	ENSG00000152102.17
1060	FAM173A	ENSG00000103254.9
1061	FAM173B	ENSG00000150756.13
1062	FAM174A	ENSG00000174132.8
1063	FAM175B	ENSG00000165660.7
1064	FAM177A1	ENSG00000151327.12
1065	FAM178A	ENSG00000119906.11
1066	FAM192A	ENSG00000172775.16
1067	FAM199X	ENSG00000123575.8
1068	FAM200A	ENSG00000221909.2
1069	FAM204A	ENSG00000165669.13
1070	FAM206A	ENSG00000119328.11
1071	FAM208B	ENSG00000108021.19
1072	FAM20B	ENSG00000116199.11
1073	FAM210B	ENSG00000124098.9
1074	FAM32A	ENSG00000105058.11
1075	FAM35A	ENSG00000122376.11
1076	FAM3A	ENSG00000071889.16
1077	FAM50A	ENSG00000071859.14
1078	FAM50B	ENSG00000145945.5
1079	FAM58A	ENSG00000262919.7
1080	FAM63A	ENSG00000143409.15
1081	FAM73B	ENSG00000148343.18
1082	FAM8A1	ENSG00000137414.5
1083	FAM96A	ENSG00000166797.10
1084	FAM96B	ENSG00000166595.11
1085	FAM98A	ENSG00000119812.18
1086	FARS2	ENSG00000145982.11
1087	FARSA	ENSG00000179115.10
1088	FARSB	ENSG00000116120.9
1089	FASTK	ENSG00000164896.19
1090	FASTKD2	ENSG00000118246.13
1091	FASTKD5	ENSG00000215251.3
1092	FBRSL1	ENSG00000112787.12
1093	FBXL15	ENSG00000107872.12
1094	FBXL17	ENSG00000145743.15
1095	FBXL3	ENSG00000005812.10
1096	FBXL4	ENSG00000112234.8
1097	FBXL5	ENSG00000118564.14
1098	FBXL6	ENSG00000182325.10
1099	FBXO11	ENSG00000138081.19
1100	FBXO18	ENSG00000134452.19
1101	FBXO22	ENSG00000167196.13
1102	FBXO28	ENSG00000143756.11
1103	FBXO3	ENSG00000110429.13
1104	FBXO38	ENSG00000145868.16
1105	FBXO42	ENSG00000037637.10
1106	FBXO45	ENSG00000174013.7
1107	FBXO6	ENSG00000116663.10
1108	FBXO7	ENSG00000100225.17
1109	FBXW11	ENSG00000072803.17
1110	FBXW2	ENSG00000119402.16
1111	FBXW4	ENSG00000107829.13
1112	FBXW5	ENSG00000159069.13
1113	FBXW7	ENSG00000109670.13
1114	FCF1	ENSG00000119616.11
1115	FDFT1	ENSG00000079459.12
1116	FDPS	ENSG00000160752.14
1117	FDX1	ENSG00000137714.2
1118	FECH	ENSG00000066926.10
1119	FEM1C	ENSG00000145780.7
1120	FEN1	ENSG00000168496.3
1121	FEZ2	ENSG00000171055.14
1122	FGFR1OP2	ENSG00000111790.13
1123	FH	ENSG00000091483.6
1124	FIBP	ENSG00000172500.12
1125	FICD	ENSG00000198855.6
1126	FIP1L1	ENSG00000145216.15
1127	FIS1	ENSG00000214253.8
1128	FIZ1	ENSG00000179943.7
1129	FKBP3	ENSG00000100442.10
1130	FKBP8	ENSG00000105701.15
1131	FKBPL	ENSG00000223666.2
1132	FKRP	ENSG00000181027.10
1133	FLAD1	ENSG00000160688.18
1134	FLCN	ENSG00000154803.12
1135	FLOT1	ENSG00000230143.9
1136	FLOT2	ENSG00000132589.15
1137	FNDC3A	ENSG00000102531.16
1138	FNTA	ENSG00000168522.12
1139	FNTB	ENSG00000257365.7
1140	FOPNL	ENSG00000276914.2
1141	FOXK2	ENSG00000141568.19
1142	FOXP4	ENSG00000137166.14
1143	FOXRED1	ENSG00000110074.10
1144	FPGS	ENSG00000136877.14
1145	FPGT	ENSG00000254685.6
1146	FRA10AC1	ENSG00000148690.11
1147	FTO	ENSG00000140718.18
1148	FTSJ1	ENSG00000068438.14
1149	FTSJ2	ENSG00000122687.17
1150	FTSJ3	ENSG00000108592.16
1151	FTSJD1	
1152	FTSJD2	
1153	FUBP1	ENSG00000162613.16
1154	FUK	ENSG00000157353.16
1155	FUNDC2	ENSG00000165775.17
1156	FXN	ENSG00000165060.11
1157	FYTTD1	ENSG00000122068.12
1158	FZR1	ENSG00000105325.13
1159	G3BP1	ENSG00000145907.14
1160	GAA	ENSG00000171298.12
1161	GABARAP	ENSG00000170296.9
1162	GABARAPL2	ENSG00000034713.7
1163	GABPB1	ENSG00000104064.16
1164	GADD45GIP1	ENSG00000179271.2
1165	GALK2	ENSG00000156958.14
1166	GALNS	ENSG00000141012.12
1167	GALNT1	ENSG00000141429.13
1168	GALNT2	ENSG00000143641.9
1169	GALT	ENSG00000213930.11
1170	GANAB	ENSG00000089597.16
1171	GAPVD1	ENSG00000165219.21
1172	GARS	ENSG00000106105.13
1173	GART	ENSG00000262473.5
1174	GATAD2A	ENSG00000167491.17
1175	GATAD2B	ENSG00000261992.2
1176	GATC	ENSG00000257218.5
1177	GBA	ENSG00000262446.5
1178	GBA2	ENSG00000070610.14
1179	GBF1	ENSG00000107862.4
1180	GCC1	ENSG00000179562.2
1181	GCDH	ENSG00000105607.12
1182	GCLC	ENSG00000001084.10
1183	GCLM	ENSG00000023909.9
1184	GDE1	ENSG00000006007.11
1185	GDI2	ENSG00000057608.16
1186	GDPGP1	ENSG00000183208.12
1187	GEMIN7	ENSG00000142252.10
1188	GEMIN8	ENSG00000046647.13
1189	GET4	ENSG00000239857.6
1190	GFER	ENSG00000127554.12
1191	GFM1	ENSG00000168827.14
1192	GFOD2	ENSG00000141098.12
1193	GGCT	ENSG00000006625.17
1194	GGNBP2	ENSG00000275099.2
1195	GGT7	ENSG00000131067.16
1196	GHDC	ENSG00000167925.15
1197	GHITM	ENSG00000165678.19
1198	GID8	ENSG00000101193.7
1199	GINM1	ENSG00000055211.12
1200	GIPC1	ENSG00000123159.15
1201	GLCE	ENSG00000138604.9
1202	GLE1	ENSG00000119392.14
1203	GLG1	ENSG00000090863.11
1204	GLI4	ENSG00000250571.6
1205	GLO1	ENSG00000124767.6
1206	GLRX2	ENSG00000023572.8
1207	GLRX3	ENSG00000108010.11
1208	GLRX5	ENSG00000182512.4
1209	GLT8D1	ENSG00000016864.16
1210	GLTP	ENSG00000139433.9
1211	GLTPD1	
1212	GLYR1	ENSG00000140632.16
1213	GMPPA	ENSG00000144591.17
1214	GMPR2	ENSG00000100938.17
1215	GNB1	ENSG00000078369.17
1216	GNB2	ENSG00000172354.9
1217	GNE	ENSG00000159921.14
1218	GNL2	ENSG00000134697.12
1219	GNL3	ENSG00000163938.16
1220	GNPAT	ENSG00000116906.11
1221	GNPDA1	ENSG00000113552.15
1222	GNPNAT1	ENSG00000100522.8
1223	GNPTG	ENSG00000090581.9
1224	GNS	ENSG00000135677.10
1225	GOLGA1	ENSG00000136935.13
1226	GOLGA2	ENSG00000167110.16
1227	GOLGA3	ENSG00000090615.12
1228	GOLGA5	ENSG00000066455.12
1229	GOLGA7	ENSG00000147533.16
1230	GOLGB1	ENSG00000173230.15
1231	GOLPH3	ENSG00000113384.13
1232	GOLT1B	ENSG00000111711.9
1233	GOPC	ENSG00000047932.13
1234	GORASP1	ENSG00000114745.13
1235	GORASP2	ENSG00000115806.12
1236	GOSR1	ENSG00000108587.14
1237	GOSR2	ENSG00000108433.15
1238	GPAA1	ENSG00000197858.10
1239	GPANK1	ENSG00000228605.6
1240	GPATCH4	ENSG00000160818.16
1241	GPBP1	ENSG00000062194.15
1242	GPBP1L1	ENSG00000159592.10
1243	GPHN	ENSG00000171723.15
1244	GPI	ENSG00000282019.1
1245	GPKOW	ENSG00000068394.10
1246	GPN1	ENSG00000198522.13
1247	GPN2	ENSG00000142751.14
1248	GPN3	ENSG00000111231.8
1249	GPR107	ENSG00000148358.19
1250	GPR108	ENSG00000125734.13
1251	GPS1	ENSG00000169727.12
1252	GPS2	ENSG00000132522.15
1253	GPX4	ENSG00000167468.16
1254	GRAMD4	ENSG00000075240.16
1255	GRHPR	ENSG00000137106.17
1256	GRINA	ENSG00000178719.16
1257	GRIPAP1	ENSG00000068400.13
1258	GRPEL1	ENSG00000109519.12
1259	GRSF1	ENSG00000132463.13
1260	GRWD1	ENSG00000105447.12
1261	GSK3A	ENSG00000105723.11
1262	GSK3B	ENSG00000082701.14
1263	GSPT1	ENSG00000103342.12
1264	GSPT2	ENSG00000189369.8
1265	GSR	ENSG00000104687.12
1266	GSS	ENSG00000100983.9
1267	GSTK1	ENSG00000197448.13
1268	GSTM4	ENSG00000168765.15
1269	GSTO1	ENSG00000148834.12
1270	GTDC2	
1271	GTF2A1	ENSG00000165417.11
1272	GTF2B	ENSG00000137947.11
1273	GTF2F1	ENSG00000125651.13
1274	GTF2F2	ENSG00000188342.11
1275	GTF2H1	ENSG00000110768.11
1276	GTF2H4	ENSG00000221974.11
1277	GTF2H5	ENSG00000272047.1
1278	GTF2I	ENSG00000263001.5
1279	GTF3A	ENSG00000122034.12
1280	GTF3C1	ENSG00000077235.17
1281	GTF3C2	ENSG00000115207.13
1282	GTF3C3	ENSG00000119041.10
1283	GTF3C5	ENSG00000148308.17
1284	GTF3C6	ENSG00000155115.6
1285	GTPBP10	ENSG00000105793.15
1286	GTPBP4	ENSG00000107937.18
1287	GTPBP5	
1288	GTPBP8	ENSG00000163607.14
1289	GUK1	ENSG00000143774.16
1290	GZF1	ENSG00000125812.15
1291	H1FX	ENSG00000184897.5
1292	H2AFV	ENSG00000105968.18
1293	H2AFX	ENSG00000188486.3
1294	H2AFY	ENSG00000113648.16
1295	H2AFZ	ENSG00000164032.11
1296	HADH	ENSG00000138796.15
1297	HADHA	ENSG00000084754.10
1298	HAGH	ENSG00000063854.12
1299	HARS	ENSG00000170445.12
1300	HARS2	ENSG00000112855.14
1301	HAT1	ENSG00000128708.12
1302	HAUS3	ENSG00000214367.7
1303	HAUS4	ENSG00000092036.16
1304	HAUS7	ENSG00000213397.10
1305	HAX1	ENSG00000143575.14
1306	HBP1	ENSG00000105856.13
1307	HBS1L	ENSG00000112339.14
1308	HCCS	ENSG00000004961.14
1309	HCFC1	ENSG00000172534.13
1310	HDAC2	ENSG00000196591.11
1311	HDAC3	ENSG00000171720.9
1312	HDAC6	ENSG00000094631.18
1313	HDAC8	ENSG00000147099.19
1314	HDDC3	ENSG00000184508.10
1315	HDGF	ENSG00000143321.18
1316	HDHD3	ENSG00000119431.9
1317	HDLBP	ENSG00000115677.16
1318	HEATR2	
1319	HEATR5A	ENSG00000129493.14
1320	HEBP1	ENSG00000013583.8
1321	HECTD3	ENSG00000126107.14
1322	HELZ	ENSG00000198265.11
1323	HEMK1	ENSG00000114735.9
1324	HERC4	ENSG00000148634.15
1325	HERPUD1	ENSG00000051108.14
1326	HERPUD2	ENSG00000122557.9
1327	HEXA	ENSG00000213614.9
1328	HEXDC	ENSG00000169660.15
1329	HEXIM1	ENSG00000186834.3
1330	HGS	ENSG00000185359.12
1331	HIAT1	ENSG00000156875.13
1332	HIATL1	ENSG00000148110.15
1333	HIBADH	ENSG00000106049.8
1334	HIGD1A	ENSG00000181061.13
1335	HIGD2A	ENSG00000146066.2
1336	HINFP	ENSG00000172273.12
1337	HINT1	ENSG00000169567.11
1338	HINT2	ENSG00000137133.10
1339	HIST1H2BC	ENSG00000180596.7
1340	HIVEP1	ENSG00000095951.16
1341	HMBS	ENSG00000256269.6
1342	HMG20A	ENSG00000140382.14
1343	HMG20B	ENSG00000064961.18
1344	HMGB1	ENSG00000189403.14
1345	HMGN3	ENSG00000118418.14
1346	HMGXB3	ENSG00000113716.12
1347	HMGXB4	ENSG00000100281.13
1348	HMOX2	ENSG00000277424.4
1349	HN1L	ENSG00000206053.12
1350	HNRNPA0	ENSG00000177733.6
1351	HNRNPA2B1	ENSG00000122566.20
1352	HNRNPAB	ENSG00000197451.10
1353	HNRNPC	ENSG00000092199.17
1354	HNRNPD	ENSG00000138668.18
1355	HNRNPF	ENSG00000169813.16
1356	HNRNPH1	ENSG00000169045.17
1357	HNRNPH2	ENSG00000126945.8
1358	HNRNPK	ENSG00000165119.18
1359	HNRNPL	ENSG00000104824.16
1360	HNRNPM	ENSG00000099783.11
1361	HNRNPR	ENSG00000125944.18
1362	HNRNPU	ENSG00000153187.16
1363	HNRNPUL1	ENSG00000105323.16
1364	HNRNPUL2	ENSG00000214753.2
1365	HNRPDL	
1366	HNRPLL	
1367	HP1BP3	ENSG00000127483.17
1368	HPS1	ENSG00000107521.18
1369	HPS6	ENSG00000166189.7
1370	HS1BP3	ENSG00000118960.12
1371	HS2ST1	ENSG00000153936.16
1372	HS6ST1	ENSG00000136720.6
1373	HSBP1	ENSG00000230989.6
1374	HSCB	ENSG00000100209.9
1375	HSD17B10	ENSG00000072506.12
1376	HSD17B12	ENSG00000149084.11
1377	HSD17B4	ENSG00000133835.14
1378	HSPA14	ENSG00000187522.13
1379	HSPA4	ENSG00000170606.13
1380	HSPA5	ENSG00000044574.7
1381	HSPA8	ENSG00000109971.13
1382	HSPA9	ENSG00000113013.12
1383	HSPBP1	ENSG00000133265.10
1384	HSPE1-MOB4	ENSG00000270757.1
1385	HTATIP2	ENSG00000109854.13
1386	HTRA2	ENSG00000115317.11
1387	HTT	ENSG00000197386.10
1388	HUS1	ENSG00000136273.11
1389	HUWE1	ENSG00000086758.15
1390	HYOU1	ENSG00000149428.18
1391	HYPK	ENSG00000242028.5
1392	IAH1	ENSG00000134330.18
1393	IARS	ENSG00000196305.17
1394	IARS2	ENSG00000067704.9
1395	IBA57	ENSG00000181873.12
1396	IBTK	ENSG00000005700.14
1397	ICK	ENSG00000112144.15
1398	ICMT	ENSG00000116237.15
1399	ICT1	ENSG00000167862.9
1400	IDE	ENSG00000119912.15
1401	IDH3A	ENSG00000166411.13
1402	IDH3B	ENSG00000101365.20
1403	IDH3G	ENSG00000067829.18
1404	IDI1	ENSG00000067064.10
1405	IER3IP1	ENSG00000134049.4
1406	IFNAR1	ENSG00000142166.12
1407	IFNGR1	ENSG00000027697.12
1408	IFRD1	ENSG00000006652.13
1409	IFT27	ENSG00000100360.14
1410	IKZF5	ENSG00000095574.11
1411	IL13RA1	ENSG00000131724.10
1412	IL6ST	ENSG00000134352.19
1413	ILF2	ENSG00000143621.16
1414	ILKAP	ENSG00000132323.8
1415	ILVBL	ENSG00000105135.15
1416	IMMT	ENSG00000132305.20
1417	IMP3	ENSG00000177971.8
1418	IMP4	ENSG00000136718.9
1419	IMPAD1	ENSG00000104331.8
1420	INF2	ENSG00000203485.12
1421	ING1	ENSG00000153487.12
1422	INO80B	ENSG00000115274.14
1423	INO80E	ENSG00000169592.14
1424	INPP5A	ENSG00000068383.18
1425	INPP5K	ENSG00000132376.19
1426	INSIG2	ENSG00000125629.14
1427	INTS1	ENSG00000164880.15
1428	INTS10	ENSG00000104613.11
1429	INTS12	ENSG00000138785.14
1430	INTS3	ENSG00000262826.5
1431	INTS4	ENSG00000149262.16
1432	INVS	ENSG00000119509.12
1433	IP6K1	ENSG00000176095.11
1434	IP6K2	ENSG00000068745.14
1435	IPO7	ENSG00000205339.9
1436	IPO8	ENSG00000133704.9
1437	IPO9	ENSG00000198700.9
1438	IRAK1	ENSG00000184216.11
1439	IREB2	ENSG00000136381.12
1440	IRF2BP1	ENSG00000170604.4
1441	IRF2BP2	ENSG00000168264.10
1442	IRF2BPL	ENSG00000119669.4
1443	IRGQ	ENSG00000167378.8
1444	ISCU	ENSG00000136003.15
1445	ISOC2	ENSG00000063241.7
1446	IST1	ENSG00000182149.20
1447	ISY1	ENSG00000240682.9
1448	ISY1-RAB43	ENSG00000261796.1
1449	ITCH	ENSG00000078747.12
1450	ITFG1	ENSG00000129636.12
1451	ITFG3	ENSG00000167930.15
1452	ITGB1	ENSG00000150093.18
1453	ITGB1BP1	ENSG00000119185.12
1454	ITM2B	ENSG00000136156.12
1455	ITPA	ENSG00000125877.12
1456	ITPK1	ENSG00000274958.4
1457	ITPKC	ENSG00000086544.2
1458	ITPRIPL2	ENSG00000205730.6
1459	IVNS1ABP	ENSG00000116679.15
1460	IWS1	ENSG00000163166.13
1461	JAGN1	ENSG00000171135.12
1462	JAK1	ENSG00000162434.11
1463	JKAMP	ENSG00000050130.17
1464	JMJD4	ENSG00000081692.12
